Line_no,Process_Name,Process_Time_0osec,Stack
548,FDIR,5653,552
549,test_execuPost_process,0,744
550,telemetry,0,3536
551,data_validation,0,2480
552,
553,state_machine,0,2480
554,ADAHRS,18667,3152
555,Post_process,0,680
556,read_interface,75254,784
557,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=40, Annun_Pann=41, CLAW=40, Data_valid=40, DIO=3, FDIR=5, POST=41, Telem=39, Test_Exec=31889, Read_thread = 5
558,AHRS,0,1064
559,ADU,8533,2480
560,GPS,6347,2544
561,EMS,7254,3816
562,DIO,80533,848
563,acutator,83840,864
564,CLAW,0,3280
565,annunciator,0,2304
566,FDIR,5814,552
567,test_execuPost_process,0,744
568,telemetry,0,3536
569,data_validation,0,2480
570,
571,state_machine,0,2480
572,ADAHRS,18613,3152
573,Post_process,0,680
574,read_interface,154400,784
575,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=40, Annun_Pann=41, CLAW=40, Data_valid=40, DIO=5, FDIR=5, POST=41, Telem=39, Test_Exec=31889, Read_thread = 5
576,AHRS,9226,1064
577,ADU,36267,2480
578,GPS,6773,2544
579,EMS,7626,3816
580,DIO,84534,848
581,acutator,0,864
582,CLAW,0,3280
583,annunciator,0,2304
584,FDIR,5440,552
585,test_execuPost_process,0,744
586,telemetry,741440,3536
587,data_validation,0,2480
588,
589,state_machine,0,2480
590,ADAHRS,31627,3152
591,Post_process,0,680
592,read_interface,157066,784
593,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=40, Annun_Pann=41, CLAW=40, Data_valid=40, DIO=6, FDIR=5, POST=41, Telem=40, Test_Exec=31889, Read_thread = 5
594,AHRS,0,1064
595,ADU,9440,2480
596,GPS,6507,2544
597,EMS,6827,3816
598,DIO,91093,848
599,acutator,0,864
600,CLAW,0,3280
601,annunciator,0,2304
602,FDIR,5440,552
603,test_execuPost_process,0,744
604,telemetry,0,3536
605,data_validation,0,2480
606,
607,state_machine,0,2480
608,ADAHRS,18506,3152
609,Post_process,0,680
610,read_interface,105707,784
