Column1,Column2,Column3
32178,actuator_cmd_process,64854,864
32178,actuator_feedback_process,0,864
32179,CLAW_process,0,2656
32179,annunciator_process,0,2304
32179,FDIR_process,5440,552
32179,test_executor_process,0,728
32179,telemetry_process,0,4072
32179,processmonitor_process,882240,3288
32179,data_validation_process,0,3000
32179,
32179,ADAHRS_process,56160,2336
32179,Post_process,0,680
32179,read_interface_process,75414,784
32179,  Scheduled time in ms ADU=5, AHRS=10 , GPS=5
32183,AHRS_process,29867,2704
32183,ADU_process,43253,2480
32183,GPS_process,8000,2544
32183,EMS_process,16427,2240
32183,DIO_process,99466,2320
32183,actuator_cmd_process,87893,864
32183,actuator_feedback_process,0,864
32183,CLAW_process,0,2656
32183,annunciator_process,0,2304
32184,FDIR_process,4747,552
32184,test_executor_process,0,728
32184,telemetry_process,1510294,4072
32184,processmonitor_process,812587,3288
32184,data_validation_process,0,3000
32184,
32184,ADAHRS_process,54187,2336
32184,Post_process,0,680
32184,read_interface_process,75413,784
32184,  Scheduled time in ms ADU=5, AHRS=10 , GPS=5
32188,AHRS_process,0,2704
32188,ADU_process,42080,2480
32188,GPS_process,8160,2544
32188,EMS_process,31680,2240
32188,DIO_process,95307,2320
32188,actuator_cmd_process,0,864
32188,actuator_feedback_process,0,864
32188,CLAW_process,0,2656
32188,annunciator_process,0,2304
32189,FDIR_process,5280,552
32189,test_executor_process,3787,744
32189,telemetry_process,0,4072
32189,processmonitor_process,815787,3288
32189,data_validation_process,0,3000
32189,
32189,ADAHRS_process,40533,2336
32189,Post_process,0,680
32189,read_interface_process,73920,784
32189,  Scheduled time in ms ADU=5, AHRS=10 , GPS=5
32193,AHRS_process,29013,2704
32193,ADU_process,41494,2480
32193,GPS_process,18986,2544
32193,EMS_process,18560,2240
32193,DIO_process,96053,2320
32193,actuator_cmd_process,0,864
32193,actuator_feedback_process,0,864
32193,CLAW_process,0,2656
32193,annunciator_process,115147,2304
32194,FDIR_process,4747,552
32194,test_executor_process,4693,744
32194,telemetry_process,0,4072
